,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Katherine,75,AU,1515290400,66,-14.47,132.26,86.0,13.87
375,Meulaboh,8,ID,1515292579,100,4.14,96.13,81.6,3.18
376,Ushuaia,40,AR,1515290400,66,-54.81,-68.31,51.8,10.29
377,Bhagalpur,80,IN,1515292581,89,25.25,86.98,50.41,3.62
378,Marsh Harbour,20,BS,1515292515,100,26.54,-77.06,67.69,15.03
379,Mitsamiouli,88,KM,1515292582,100,-11.38,43.28,75.88,14.81
380,Kandra,0,PK,1515290400,87,27.59,68.87,46.4,2.84
381,Jalu,0,LY,1515292584,80,29.03,21.55,43.17,2.84
382,Ambilobe,92,MG,1515292585,99,-13.19,49.05,70.21,7.99
383,Mabaruma,88,GY,1515292585,82,8.2,-59.78,78.67,7.76
384,Rincon de La Victoria,92,BO,1515292586,98,-21.52,-64.81,50.32,1.16
385,Saskylakh,24,RU,1515292587,35,71.97,114.09,-23.66,6.98
386,Port Macquarie,0,AU,1515290400,37,-31.43,152.91,98.6,9.17
387,Shaunavon,64,CA,1515292589,89,49.65,-108.41,28.32,13.24
388,Guerrero Negro,36,MX,1515292590,71,27.97,-114.04,63.46,6.64
389,Aginskoye,8,RU,1515292591,66,51.11,114.54,8.83,11.9
390,Stare Mesto,90,CZ,1515290400,93,50.09,14.42,41.0,3.36
391,Ipixuna,75,BR,1515290400,94,-1.76,-48.8,73.4,10.29
392,Manoel Urbano,64,BR,1515292594,97,-8.84,-69.26,72.28,1.95
393,Nantucket,1,US,1515291300,55,41.28,-70.1,10.4,21.92
394,Guarapari,40,BR,1515290400,83,-20.67,-40.5,78.8,9.17
395,Talnakh,0,RU,1515292596,51,69.49,88.39,-17.77,2.62
396,San Rafael,0,AR,1515292598,39,-34.61,-68.33,62.2,4.74
397,Lasa,0,CY,1515292200,71,34.92,32.53,50.0,11.41
398,Hay River,90,CA,1515290400,85,60.82,-115.79,10.4,16.11
399,Busselton,0,AU,1515292602,90,-33.64,115.35,72.24,13.02
400,Bundaberg,36,AU,1515292602,97,-24.87,152.35,80.34,14.03
401,Maicao,0,CO,1515292603,75,11.38,-72.24,79.89,12.68
402,Snyder,1,US,1515291300,71,32.72,-100.92,53.6,16.11
403,Thompson,90,CA,1515290400,84,55.74,-97.86,6.8,2.24
404,Usinsk,68,RU,1515292605,81,66.0,57.56,18.15,14.7
405,Darnah,20,LY,1515292606,100,32.77,22.64,63.24,10.22
406,Nuuk,80,GL,1515289800,100,64.17,-51.74,32.0,16.11
407,Koutiala,8,ML,1515292607,61,12.39,-5.46,57.97,2.73
408,Qasigiannguit,32,GL,1515289800,53,68.82,-51.19,21.2,18.34
409,Kavaratti,20,IN,1515292609,100,10.57,72.64,82.09,6.98
410,Ostrovnoy,88,RU,1515292609,92,68.05,39.51,24.99,10.67
411,Seoul,0,KR,1515290400,43,37.57,126.98,33.8,2.24
412,Orcopampa,88,PE,1515292611,99,-15.27,-72.34,33.99,2.51
413,Hofn,88,IS,1515292612,100,64.25,-15.21,28.27,10.45
414,Tarko-Sale,92,RU,1515292613,92,64.92,77.78,22.47,6.08
415,Darlawn,0,IN,1515292613,79,24.02,92.93,55.36,2.17
416,Los Llanos de Aridane,75,ES,1515292200,67,28.66,-17.92,60.8,24.16
417,Ariquemes,48,BR,1515292615,96,-9.91,-63.03,73.27,1.39
418,Xiantao,92,CN,1515292615,97,30.37,113.44,34.62,10.45
419,Atuona,80,PF,1515292616,100,-9.8,-139.03,80.25,11.56
420,Borovskoy,0,KZ,1515292617,29,53.8,64.15,-19.61,4.41
421,Waterloo,40,CA,1515290400,83,43.47,-80.52,-5.81,2.24
422,Zaozerne,92,UA,1515292619,99,51.37,23.94,34.84,3.4
423,Basco,1,US,1515291300,61,40.33,-91.2,12.2,8.05
424,Cabatuan,44,PH,1515292621,100,16.95,121.67,76.74,3.51
425,Hobyo,80,SO,1515292624,81,5.35,48.53,75.39,17.27
426,Villarrica,0,CL,1515292349,89,-39.28,-72.23,48.12,1.95
427,Anadyr,90,RU,1515290400,92,64.73,177.51,23.0,33.55
428,Ladybrand,0,ZA,1515292628,52,-29.19,27.46,46.18,2.39
429,Eirunepe,36,BR,1515292629,95,-6.66,-69.87,75.43,2.06
430,Beatrice,1,US,1515291300,63,40.27,-96.75,26.6,10.29
431,Mahibadhoo,0,MV,1515292630,100,3.78,72.97,80.92,9.66
432,Lorengau,20,PG,1515292631,94,-2.02,147.27,86.05,7.43
433,High River,20,CA,1515290400,74,50.58,-113.86,30.2,9.17
434,Vanimo,12,PG,1515292633,99,-2.67,141.3,85.2,11.01
435,Havoysund,64,NO,1515291600,74,71.0,24.66,28.4,10.29
436,Samarai,24,PG,1515292635,100,-10.62,150.67,83.71,10.0
437,Coihaique,90,CL,1515290400,82,-45.58,-72.07,57.2,3.36
438,Aligudarz,20,IR,1515292636,88,33.4,49.69,15.49,1.95
439,Caborca,44,MX,1515292637,65,30.58,-111.1,52.12,3.06
440,Imbituba,40,BR,1515290400,73,-28.24,-48.67,73.4,9.17
441,Pereyaslovskaya,68,RU,1515292639,85,45.84,39.02,27.42,3.51
442,Neuquen,0,AR,1515290400,47,-38.95,-68.06,78.8,11.41
443,Grand-Santi,36,GF,1515292641,92,4.27,-54.38,73.14,3.4
444,Sibolga,88,ID,1515292641,89,1.74,98.78,74.71,2.28
445,Durazno,0,UY,1515292642,47,-33.38,-56.52,58.15,7.76
446,Schluchtern,40,DE,1515291600,93,49.15,9.1,37.4,2.24
447,Port Hedland,0,AU,1515290400,56,-20.31,118.58,93.2,8.05
448,Yar-Sale,88,RU,1515292644,97,66.83,70.83,24.04,8.55
449,Topeka,1,US,1515289980,54,39.05,-95.68,28.4,8.05
450,Dzhebariki-Khaya,0,RU,1515292646,0,62.22,135.8,-38.69,2.73
451,Cabo San Lucas,40,MX,1515289440,68,22.89,-109.91,73.4,3.36
452,Komsomolskiy,76,RU,1515292649,91,67.55,63.78,22.15,6.76
453,Warri,0,NG,1515292650,96,5.52,5.75,68.86,5.64
454,Pacific Grove,40,US,1515290100,93,36.62,-121.92,55.4,3.36
455,Saint-Philippe,1,CA,1515291300,57,45.36,-73.48,-7.61,12.75
456,Castro,64,CL,1515292654,98,-42.48,-73.76,56.67,4.07
457,Pouembout,92,NC,1515292655,52,-21.12,164.9,83.04,4.29
458,Aykhal,36,RU,1515292655,77,65.95,111.51,-13.04,6.08
459,Saint-Pierre,90,FR,1515292200,93,48.95,4.24,46.4,13.87
460,Kalevala,92,FI,1515292658,78,64.12,29.58,23.1,10.78
461,Ayolas,0,PY,1515292658,67,-27.39,-56.84,73.05,10.0
462,Yura,90,PE,1515290400,87,-16.25,-71.68,51.8,4.7
463,Kaitangata,68,NZ,1515292660,40,-46.28,169.85,65.53,12.91
464,Timberlake,1,US,1515291300,68,32.26,-81.31,32.0,4.7
465,Port-Gentil,76,GA,1515292661,100,-0.72,8.78,77.32,6.76
466,Faanui,92,PF,1515292662,100,-16.48,-151.75,79.66,18.16
467,Kudahuvadhoo,0,MV,1515292663,100,2.67,72.89,80.97,10.0
468,Chuy,0,UY,1515292664,82,-33.69,-53.46,60.0,6.98
469,Post Falls,90,US,1515290280,86,47.71,-116.95,33.8,6.93
470,Kemin,12,KG,1515292665,80,42.79,75.7,12.97,3.96
471,Kahului,40,US,1515290160,57,20.89,-156.47,78.8,16.11
472,Faya,5,SA,1515290400,100,18.39,42.45,48.2,2.51
473,Nur,92,PL,1515292667,100,52.67,22.32,34.66,3.74
474,Konibodom,90,TJ,1515290400,68,40.3,70.43,33.8,13.42
475,Orda,68,RU,1515292669,73,57.2,56.91,12.16,11.01
476,Lufilufi,76,WS,1515292670,100,-13.87,-171.6,82.14,10.0
477,San Patricio,0,PY,1515292671,56,-26.98,-56.83,74.22,5.75
478,Lokoja,0,NG,1515292672,72,7.8,6.74,59.41,2.39
479,Baiyin,90,CN,1515290400,78,36.55,104.13,10.4,2.24
480,Tabou,0,CI,1515292674,100,4.42,-7.36,80.79,10.89
481,Chicama,90,PE,1515290400,88,-7.84,-79.15,68.0,9.17
482,Tuburan,75,PH,1515290400,83,10.73,123.82,82.4,9.17
483,Hohhot,20,CN,1515290400,66,40.81,111.65,10.4,2.24
484,Inirida,0,CO,1515292677,91,3.87,-67.92,74.26,1.72
485,Kuching,75,MY,1515290400,83,1.56,110.34,80.6,5.82
486,Geraldton,90,CA,1515290400,84,49.72,-86.95,3.2,8.05
487,Da Lat,0,VN,1515292680,65,11.95,108.44,77.05,3.06
488,Severo-Kurilsk,64,RU,1515292681,100,50.68,156.12,26.92,5.41
489,Ordzhonikidze,0,UA,1515292681,100,44.96,35.36,43.89,11.68
490,Dunedin,80,NZ,1515292533,48,-45.87,170.5,67.15,10.78
491,Loukhi,80,RU,1515292683,94,66.08,33.04,28.14,3.18
492,Tuktoyaktuk,90,CA,1515290400,77,69.44,-133.03,-2.21,10.29
493,Oildale,20,US,1515290160,77,35.42,-119.02,62.6,6.93
494,Mtambile,76,TZ,1515292686,99,-5.38,39.7,81.1,14.03
495,Zavetnoye,8,RU,1515292689,78,47.12,43.89,20.4,3.62
496,Srivardhan,0,IN,1515292690,89,18.03,73.02,65.67,3.4
497,Bilibino,48,RU,1515292691,61,68.06,166.44,-22.22,2.39
498,Junction City,1,US,1515290160,50,39.03,-96.83,28.4,3.36
499,Fallon,1,US,1515290160,92,46.84,-105.12,24.8,5.82
500,Caxias,0,BR,1515290400,83,-4.87,-43.35,77.0,5.82
501,Blankenberge,20,BE,1515291600,80,51.31,3.13,39.2,16.11
502,Gat,0,SN,1515292695,54,14.69,-16.54,65.35,13.47
503,Beloha,100,MG,1515292696,96,-25.17,45.06,72.64,20.96
504,Robertsport,0,LR,1515292697,100,6.75,-11.37,81.24,12.01
505,Colac,0,AU,1515292697,41,-38.34,143.59,77.1,3.29
506,Marigot,48,HT,1515292698,100,18.23,-72.32,78.13,5.19
507,Airai,76,TL,1515292699,69,-8.93,125.41,81.46,1.83
508,Half Moon Bay,1,US,1515290640,93,37.46,-122.43,55.4,5.82
509,Amga,56,RU,1515292701,47,60.89,131.98,-16.69,3.74
510,Bluff,0,AU,1515292703,43,-23.58,149.07,90.42,11.23
511,Coahuayana,0,MX,1515292703,75,18.62,-100.35,62.02,2.51
512,Batemans Bay,0,AU,1515292704,44,-35.71,150.18,86.59,5.86
513,San Cristobal,0,EC,1515290400,71,-0.39,-78.55,50.0,6.93
514,Bacolod,68,PH,1515292706,84,10.68,122.95,81.87,7.09
515,Santo Domingo,20,DO,1515290400,94,18.48,-69.94,73.4,4.7
516,Ondangwa,48,NA,1515292707,28,-17.91,15.98,67.42,3.96
517,Kodiak,44,US,1515292708,81,39.95,-94.76,16.3,12.8
518,Clyde River,90,CA,1515290820,83,70.47,-68.59,-4.01,25.28
519,Torbay,90,CA,1515290400,79,47.66,-52.73,23.0,34.45
520,Kodinsk,80,RU,1515292711,74,58.6,99.18,7.8,7.2
521,Berlevag,88,NO,1515292449,100,70.86,29.09,30.7,16.04
522,Sabha,44,LY,1515292713,57,27.03,14.43,51.99,10.22
523,Dikson,32,RU,1515292713,93,73.51,80.55,3.43,5.75
524,Naze,0,NG,1515292715,89,5.43,7.07,63.55,3.18
525,Maragogi,88,BR,1515292715,94,-9.01,-35.22,76.24,6.31
526,Rafaela,0,AR,1515292463,47,-31.25,-61.49,66.97,7.43
527,Dunda,0,IN,1515292716,61,30.62,78.32,19.95,1.72
528,Mayor Pablo Lagerenza,48,PY,1515292718,87,-19.93,-60.77,76.92,6.31
529,Roald,68,NO,1515291600,80,62.58,6.12,33.8,23.04
530,Nisia Floresta,40,BR,1515290400,83,-6.09,-35.21,78.8,3.36
531,Totma,92,RU,1515292721,96,59.98,42.76,32.59,11.68
532,Chokurdakh,44,RU,1515292722,0,70.62,147.9,-34.24,3.29
533,Boddam,8,GB,1515291600,80,57.47,-1.78,30.2,1.12
534,Ostersund,0,SE,1515291600,85,63.18,14.64,19.4,9.17
535,Blind River,90,CA,1515291300,76,46.19,-82.96,-7.61,1.61
536,Mount Isa,75,AU,1515290400,41,-20.73,139.49,91.4,10.29
537,Eureka,1,US,1515290100,93,40.8,-124.16,48.2,3.36
538,Anage,0,BR,1515292727,76,-14.61,-41.14,71.11,10.11
539,Rocha,0,UY,1515292728,72,-34.48,-54.34,53.38,3.4
540,Puerto Escondido,48,MX,1515292729,100,15.86,-97.07,80.83,4.18
541,Tasiilaq,88,GL,1515289800,61,65.61,-37.64,17.6,32.21
542,Birao,8,CF,1515292731,49,10.3,22.78,54.15,8.99
543,Tsybuliv,20,UA,1515292731,92,49.08,29.85,31.29,7.99
544,La Roche-sur-Yon,92,FR,1515292200,87,46.67,-1.43,44.6,17.22
545,Itoman,75,JP,1515290400,82,26.12,127.67,64.4,6.93
546,Amazar,24,RU,1515292734,75,53.86,120.88,3.61,2.39
547,Kandrian,24,PG,1515292735,100,-6.21,149.55,79.3,3.4
548,Plettenberg Bay,0,ZA,1515292736,96,-34.05,23.37,66.25,6.31
549,Punta Arenas,75,CL,1515290400,76,-53.16,-70.91,51.8,8.05
550,Boa Vista,20,BR,1515290400,65,2.82,-60.67,82.4,9.17
551,San Pedro,0,AR,1515292741,54,-33.68,-59.66,66.39,11.01
552,Rantauprapat,56,ID,1515292742,86,2.1,99.83,76.92,2.39
553,Chake Chake,76,TZ,1515292742,99,-5.25,39.77,81.1,14.03
554,Pedernales,92,EC,1515292743,91,0.07,-80.05,73.77,5.3
555,Slave Lake,1,CA,1515290400,55,55.28,-114.77,33.8,26.4
556,Ponta Delgada,75,PT,1515290400,87,37.73,-25.67,59.0,5.82
557,Le Mars,40,US,1515291300,78,42.79,-96.17,17.6,13.87
558,Touros,56,BR,1515292747,91,-5.2,-35.46,77.23,6.76
559,Xining,48,CN,1515292747,64,36.62,101.77,4.47,3.4
560,Pevek,56,RU,1515292748,68,69.7,170.27,-9.71,2.39
561,Georgetown,40,GY,1515290400,94,6.8,-58.16,75.2,4.7
562,Luderitz,32,NA,1515290400,87,-26.65,15.16,60.8,10.29
563,Sao Joao da Barra,0,BR,1515292750,98,-21.64,-41.05,79.21,30.58
564,Guhagar,0,IN,1515292751,98,17.48,73.19,71.92,7.2
565,Ust-Ishim,0,RU,1515292751,59,57.69,71.17,-6.38,6.53
